体	軆/體
隷	隸
雁	鳫
霊	靈
静	靜
靭	靱
韻	韵
頚	頸
頬	頰
頴	穎
頼	賴
顔	顏
顕	顯
顛	顚
飄	飃
飢	饑
飲	飮
飾	餝
駅	驛
騒	騷
験	驗
騨	驒
高	髙
髪	髮
鬱	欝
鯵	鰺
鰓	腮
鴈	鳫
鴎	鷗
鴬	鶯
鵞	鵝
鶏	鷄
鹸	鹼
麦	麥
麩	麸
麹	麴
麺	麪
黄	黃
黒	黑
黙	默
鼓	皷
鼠	鼡
齏	韲
齢	齡
齧	囓
龠	籥
